KNOWN_DRIVER	SYMBOL	DRIVER_LABEL	MUTS_CS	MUTS_PAM	POOL_SIGNALS	ONCODRIVE_ROLE	GENE	SIGNAL_COUNT	SIGNALS	MUTS_PAM_SAMPLES	MUTS_CS_SAMPLES
	PCBP1	perProject_driver	18	12		0.9665	ENSG00000169564	1	F	12	18
True	EGFR	Pooled_driver	348	259	CF	0.9990000000000001	ENSG00000146648	3	CFR	228	299
	FAT1	Pooled_driver	391	313	FR	0.01	ENSG00000083857	2	FR	277	341
True	DDX5	Pooled_driver	66	43	FR	0.126	ENSG00000108654	2		43	65
	EEF1A1	Pooled_driver	47	40	FR	0.1925	ENSG00000156508	2		40	47
	CSDE1	Pooled_driver	268	53	F	0.245	ENSG00000009307	1		52	264
	ASH1L	Pooled_driver	191	139	F	0.9625	ENSG00000116539	1		124	169
True	MYH11	Pooled_driver	184	130	F	0.856	ENSG00000133392	1		126	174
	TAF1	Pooled_driver	167	134	F	0.9135	ENSG00000147133	1		129	157
	CNOT1	Pooled_driver	165	106	F	0.0965	ENSG00000125107	1		99	151
	HGF	Pooled_driver	147	113	F	0.4255	ENSG00000019991	1		106	136
	SETDB1	Pooled_driver	128	79	F	0.9670000000000001	ENSG00000143379	1		76	120
	BNC2	Pooled_driver	126	83	F	0.0515	ENSG00000173068	1		81	118
	ARFGEF2	Pooled_driver	124	99	R	0.862	ENSG00000124198	1		89	112
True	MET	Pooled_driver	122	89	R	0.9655	ENSG00000105976	1		84	111
	CEP290	Pooled_driver	117	89	F	0.1625	ENSG00000198707	1		86	113
	MUC20	Pooled_driver	115	31	R	0.2965	ENSG00000176945	1		30	98
	LRP6	Pooled_driver	114	87	F	0.927	ENSG00000070018	1		83	105
	TJP1	Pooled_driver	113	88	F	0.009000000000000001	ENSG00000104067	1		83	106
	ITSN1	Pooled_driver	113	76	F	0.2875	ENSG00000205726	1		72	106
True	MKL1	Pooled_driver	104	47	F	0.706	ENSG00000196588	1		46	93
True	SRGAP3	Pooled_driver	103	66	F	0.8975	ENSG00000196220	1		65	93
	SIN3A	Pooled_driver	98	73	F	0.752	ENSG00000169375	1		70	92
	PIK3CB	Pooled_driver	97	81	F	0.5845	ENSG00000051382	1		71	87
True	ACSL6	Pooled_driver	93	68	F	0.0455	ENSG00000164398	1		62	86
True	MLH1	Pooled_driver	92	36	F	0.0335	ENSG00000076242	1		35	85
	SOS1	Pooled_driver	92	81	F	0.7365	ENSG00000115904	1		79	90
True	AFF4	Pooled_driver	91	58	F	0.682	ENSG00000072364	1		58	86
	POLR2B	Pooled_driver	88	53	F	0.865	ENSG00000047315	1		50	84
	MED24	Pooled_driver	84	42	R	0.4115	ENSG00000008838	1		38	74
True	HSP90AB1	Pooled_driver	83	42	F	0.081	ENSG00000096384	1		41	82
True	FOXP1	Pooled_driver	83	51	F	0.0035	ENSG00000114861	1		51	78
	SOS2	Pooled_driver	82	58	F	0.8565	ENSG00000100485	1		55	76
True	EIF4A2	Pooled_driver	82	39	F	0.836	ENSG00000156976	1		39	79
	CLSPN	Pooled_driver	79	54	F	0.11599999999999999	ENSG00000092853	1		51	75
	NUP107	Pooled_driver	75	44	F	0.877	ENSG00000111581	1		43	68
	CLASP2	Pooled_driver	75	59	F	0.198	ENSG00000163539	1		55	71
	MAP4K3	Pooled_driver	73	57	F	0.055	ENSG00000011566	1		56	69
	NFATC4	Pooled_driver	70	55	F	0.1735	ENSG00000100968	1		54	68
	PCSK6	Pooled_driver	68	50	F	0.888	ENSG00000140479	1		50	65
True	ARHGAP26	Pooled_driver	67	43	F	0.05	ENSG00000145819	1		42	63
	ACO1	Pooled_driver	66	52	F	0.254	ENSG00000122729	1		50	64
True	THRAP3	Pooled_driver	65	54	F	0.2725	ENSG00000054118	1		51	60
	NCF2	Pooled_driver	65	46	F	0.57	ENSG00000116701	1		46	65
True	CDC73	Pooled_driver	65	37	F	0.5795	ENSG00000134371	1		37	63
	CASP1	Pooled_driver	65	23	F	0.031	ENSG00000137752	1		23	62
	BMPR2	Pooled_driver	64	54	F	0.0405	ENSG00000204217	1		50	59
	NCKAP1	Pooled_driver	63	49	F	0.2985	ENSG00000061676	1		48	62
	DLG1	Pooled_driver	63	47	F	0.8765	ENSG00000075711	1		46	60
	WIPF1	Pooled_driver	63	42	F	0.836	ENSG00000115935	1		41	60
	DIS3	Pooled_driver	62	41	F	0.8525	ENSG00000083520	1		41	59
	IREB2	Pooled_driver	62	49	F	0.848	ENSG00000136381	1		48	59
	NR4A2	Pooled_driver	61	46	F	0.191	ENSG00000153234	1		46	59
	PTGS1	Pooled_driver	59	43	F	0.0635	ENSG00000095303	1		42	56
	AHR	Pooled_driver	57	49	F	0.8759999999999999	ENSG00000106546	1		48	56
True	TCF12	Pooled_driver	57	45	F	0.0	ENSG00000140262	1	F	43	55
	HSPA8	Pooled_driver	56	39	F	0.768	ENSG00000109971	1		37	54
	FXR1	Pooled_driver	56	38	F	0.1815	ENSG00000114416	1		38	56
	SYNCRIP	Pooled_driver	56	36	F	0.396	ENSG00000135316	1		36	55
	RTN4	Pooled_driver	55	47	F	0.1965	ENSG00000115310	1		45	53
	CAT	Pooled_driver	54	32	F	0.836	ENSG00000121691	1		32	52
	HDAC3	Pooled_driver	54	22	F	0.027999999999999997	ENSG00000171720	1		22	54
True	MEN1	Pooled_driver	53	30	F	0.0285	ENSG00000133895	1		30	52
	DHX15	Pooled_driver	52	32	F	0.0075	ENSG00000109606	1		31	50
	EIF2C3	Pooled_driver	52	42	F	0.8809999999999999	ENSG00000126070	1		39	49
	CHD1L	Pooled_driver	52	45	F	0.6579999999999999	ENSG00000131778	1		44	51
	CLOCK	Pooled_driver	52	37	F	0.126	ENSG00000134852	1		35	48
True	HSP90AA1	Pooled_driver	51	34	F	0.8859999999999999	ENSG00000080824	1		31	46
True	LCP1	Pooled_driver	51	39	F	0.013999999999999999	ENSG00000136167	1		39	51
	FMR1	Pooled_driver	50	42	F	0.1195	ENSG00000102081	1		42	49
	ADAM10	Pooled_driver	50	37	F	0.7845	ENSG00000137845	1		36	49
	CARM1	Pooled_driver	50	29	F	0.83	ENSG00000142453	1		29	50
	ZC3H11A	Pooled_driver	48	40	F	0.3245	ENSG00000058673	1		39	46
	GPSM2	Pooled_driver	48	30	F	0.1075	ENSG00000121957	1		26	41
	ZFP36L2	Pooled_driver	48	34	F	0.0055	ENSG00000152518	1		33	47
	ELF1	Pooled_driver	46	33	F	0.0395	ENSG00000120690	1		33	46
True	ATIC	Pooled_driver	46	34	F	0.0305	ENSG00000138363	1		34	46
	CAST	Pooled_driver	45	24	F	0.0135	ENSG00000153113	1		24	44
	TNPO1	Pooled_driver	44	34	F	0.6940000000000001	ENSG00000083312	1		34	43
True	PRRX1	Pooled_driver	44	29	F	0.9445	ENSG00000116132	1		28	42
	UPF3B	Pooled_driver	44	40	F	0.1295	ENSG00000125351	1		36	40
	PIP5K1A	Pooled_driver	44	32	F	0.547	ENSG00000143398	1		31	40
	RBM5	Pooled_driver	43	33	F	0.0315	ENSG00000003756	1		31	39
True	GOLGA5	Pooled_driver	42	34	F	0.596	ENSG00000066455	1		34	42
True	SUZ12	Pooled_driver	42	35	F	0.003	ENSG00000178691	1		34	41
True	NF2	Pooled_driver	41	33	F	0.0415	ENSG00000186575	1		33	41
	CUL2	Pooled_driver	40	35	F	0.207	ENSG00000108094	1		34	39
	PIK3R3	Pooled_driver	39	21	F	0.919	ENSG00000117461	1		21	39
	CCT5	Pooled_driver	39	28	F	0.8805	ENSG00000150753	1		26	35
	CAPN7	Pooled_driver	38	21	F	0.354	ENSG00000131375	1		21	35
	STIP1	Pooled_driver	38	26	F	0.032	ENSG00000168439	1		25	36
True	FUS	Pooled_driver	37	18	R	0.021	ENSG00000089280	1		15	33
	TOM1	Pooled_driver	37	27	F	0.2215	ENSG00000100284	1		27	37
True	NDRG1	Pooled_driver	37	29	F	0.877	ENSG00000104419	1		29	36
	MED17	Pooled_driver	36	29	F	0.8765	ENSG00000042429	1		28	34
	ARNTL	Pooled_driver	36	27	F	0.0785	ENSG00000133794	1		27	36
True	KLF6	Pooled_driver	35	23	F	0.15	ENSG00000067082	1		23	32
	TFDP2	Pooled_driver	35	25	F	0.12300000000000001	ENSG00000114126	1		25	35
	ACAD8	Pooled_driver	35	21	F	0.7340000000000001	ENSG00000151498	1		21	34
	G3BP2	Pooled_driver	34	28	F	0.882	ENSG00000138757	1		28	34
	HNRPDL	Pooled_driver	34	28	F	0.0195	ENSG00000152795	1		28	34
	NAP1L1	Pooled_driver	33	18	F	0.22699999999999998	ENSG00000187109	1		18	32
	GNAI1	Pooled_driver	32	22	F	0.069	ENSG00000127955	1		22	32
	CSDA	Pooled_driver	31	23	F	0.8635	ENSG00000060138	1		23	31
	CSNK1G3	Pooled_driver	30	23	F	0.0235	ENSG00000151292	1		23	30
	PPP2R5A	Pooled_driver	29	18	F	0.048	ENSG00000066027	1		18	29
	PPP2R5C	Pooled_driver	29	23	F	0.966	ENSG00000078304	1		21	27
True	HLF	Pooled_driver	29	23	F	0.8865	ENSG00000108924	1		23	29
	KLF4	Pooled_driver	29	25	F	0.6859999999999999	ENSG00000136826	1		25	29
	NCK1	Pooled_driver	29	22	F	0.862	ENSG00000158092	1		22	29
	NR2F2	Pooled_driver	29	24	F	0.8885	ENSG00000185551	1		23	28
	STK4	Pooled_driver	28	22	F	0.401	ENSG00000101109	1		22	26
	ARFGAP1	Pooled_driver	28	17	F	0.4275	ENSG00000101199	1		17	28
	RHEB	Pooled_driver	28	21	F	0.8859999999999999	ENSG00000106615	1		21	27
	IRS2	Pooled_driver	24	19	F	0.02	ENSG00000185950	1		19	24
	LDHA	Pooled_driver	23	15	F	0.22899999999999998	ENSG00000134333	1		15	23
	SHMT1	Pooled_driver	23	16	F	0.6579999999999999	ENSG00000176974	1		16	23
	SF3A3	Pooled_driver	23	20	F	0.09	ENSG00000183431	1		19	22
True	SFPQ	Pooled_driver	22	17	F	0.0455	ENSG00000116560	1		17	22
	RAD23B	Pooled_driver	22	16	F	0.1235	ENSG00000119318	1		16	22
True	FAS	Pooled_driver	21	19	F	0.0895	ENSG00000026103	1		19	20
	YBX1	Pooled_driver	20	17	F	0.8715	ENSG00000065978	1		16	18
True	GNA11	Pooled_driver	20	16	F	0.8415	ENSG00000088256	1		16	20
	PSMA6	Pooled_driver	20	16	F	0.4425	ENSG00000100902	1		15	19
True	ATF1	Pooled_driver	19	17	F	0.622	ENSG00000123268	1		17	19
	GNG2	Pooled_driver	17	12	F	0.0205	ENSG00000186469	1		12	17
	ATP6AP2	Pooled_driver	14	14	F	0.0415	ENSG00000182220	1		14	14
